# Copyright (c) 1966-2016 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement.
# Generated: 2016-10-12
# This file provides links between the genes in OMIM and other gene identifiers.
# THIS IS NOT A TABLE OF GENE-PHENOTYPE RELATIONSHIPS.
# MIM Number	MIM Entry Type (see FAQ 1.3 at https://omim.org/help/faq)	Entrez Gene ID (NCBI)	Approved Gene Symbol (HGNC)	Ensembl Gene ID (Ensembl)
166950	predominantly phenotypes			
166970	predominantly phenotypes			
166990	predominantly phenotypes			
167000	phenotype			
167030	phenotype			
167040	gene	5007	OSBP	ENSG00000110048,ENST00000263847
167050	gene	5020	OXT	ENSG00000101405,ENST00000217386
167055	gene	5021	OXTR	ENSG00000180914,ENST00000316793
167100	phenotype			
167200	phenotype			
167210	phenotype			
167220	predominantly phenotypes			
167250	phenotype			
167300	predominantly phenotypes			
167320	phenotype			
167400	phenotype			
167405	gene	5046	PCSK6	ENSG00000140479,ENST00000611716
167409	gene	5076	PAX2	ENSG00000075891,ENST00000355243
167410	gene	5081	PAX7	ENSG00000009709,ENST00000375375
167411	gene	5075	PAX1	ENSG00000125813,ENST00000398485
167413	gene	5078	PAX4	ENSG00000106331,ENST00000341640
167414	gene	5079	PAX5	ENSG00000196092,ENST00000358127
167415	gene	7849	PAX8	ENSG00000125618,ENST00000429538
167416	gene	5083	PAX9	ENSG00000198807,ENST00000361487
167420	gene	5396	PRRX1	ENSG00000116132,ENST00000367760
167500	phenotype			
167600	predominantly phenotypes			
167700	predominantly phenotypes			
167730	phenotype			
167750	predominantly phenotypes			
167755	predominantly phenotypes			
167770	gene	5967	REG1A	ENSG00000115386,ENST00000233735
167771	gene	5968	REG1B	ENSG00000172023,ENST00000305089
167780	gene	5539	PPY	ENSG00000108849,ENST00000225992
167790	gene	6690	SPINK1	ENSG00000164266,ENST00000296695
167800	phenotype			
167805	gene	5068	REG3A	ENSG00000172016,ENST00000409839
167850	predominantly phenotypes			
167870	phenotype	387572		
167900	phenotype			
167950	predominantly phenotypes			
167959	predominantly phenotypes	3260	HPV18I1	
167960	predominantly phenotypes	3261	HPV18I2	
168000	phenotype			
168100	predominantly phenotypes			
168200	predominantly phenotypes			
168300	phenotype			
168350	moved/removed			
168360	gene	1996	ELAVL4	ENSG00000162374,ENST00000371827
168400	phenotype			
168440	gene	5763	PTMS	ENSG00000159335,ENST00000309083
168450	gene	5741	PTH	ENSG00000152266,ENST00000282091
168460	moved/removed			
168461	gene	595	CCND1	ENSG00000110092,ENST00000227507
168468	gene	5745	PTH1R	ENSG00000160801,ENST00000313049
168470	gene/phenotype	5744	PTHLH	ENSG00000087494,ENST00000545234
168500	phenotype			
168550	phenotype			
168600	phenotype			
168601	phenotype			
168605	phenotype			
168610	moved/removed			
168710	predominantly phenotypes	8075		
168730	gene	5554	PRH1	ENSG00000231887,ENST00000543626
168790	gene	5555	PRH2	ENSG00000272803,ENST00000572141
168800	predominantly phenotypes			
168810	gene	653247	PRB2	ENSG00000121335,ENST00000389362
168820	gene/phenotype	5444	PON1	ENSG00000005421,ENST00000222381
168830	predominantly phenotypes			
168840	gene	5544	PRB3	ENSG00000197870,ENST00000538488
168850	moved/removed			
168860	phenotype	8830	PTLAH	
168885	predominantly phenotypes			
168890	gene	5816	PVALB	ENSG00000274665,ENST00000620986
168900	phenotype			
169000	phenotype			
169100	phenotype			
169150	phenotype			
169170	predominantly phenotypes			
169190	gene	5129	CDK18	ENSG00000117266,ENST00000360066
169200	predominantly phenotypes			
169300	predominantly phenotypes			
169400	phenotype			
169500	phenotype			
169545	phenotype			
169550	predominantly phenotypes			
169600	phenotype			
169610	predominantly phenotypes			
169615	gene	1830	DSG3	ENSG00000134757,ENST00000257189
169700	gene			
169710	predominantly phenotypes	643834	PGA3	ENSG00000229859,ENST00000325558
169720	gene	643847	PGA4	ENSG00000229183,ENST00000378149
169730	gene	5222	PGA5	ENSG00000256713,ENST00000312403
169740	gene	5225	PGC	ENSG00000096088,ENST00000373025
169800	gene	55748	CNDP2	ENSG00000133313,ENST00000324262
169900	gene	5182	PEPB	
170000	gene	5183	PEPC	
170100	phenotype			
170200	gene	5185	PEPE	
170250	gene	51056	LAP3	ENSG00000002549,ENST00000226299
170260	gene	6890	TAP1	ENSG00000232367,ENST00000440894
170261	gene	6891	TAP2	ENSG00000225967,ENST00000455842
170270	gene	5066	PAM	ENSG00000145730,ENST00000348126
170280	gene	5551	PRF1	ENSG00000180644,ENST00000373209
170285	gene	79902	NUP85	ENSG00000125450,ENST00000245544
170290	gene	5346	PLIN1	ENSG00000166819,ENST00000300055
170300	moved/removed			
170390	phenotype			
170400	phenotype			
170500	phenotype			
170600	predominantly phenotypes			
170650	phenotype			
170700	predominantly phenotypes			
170710	gene	5630	PRPH	ENSG00000135406,ENST00000257860
170715	gene	5375	PMP2	ENSG00000147588,ENST00000256103
170900	predominantly phenotypes			
170950	moved/removed			
170980	predominantly phenotypes			
170990	predominantly phenotypes			
170993	gene	5828	PEX2	ENSG00000164751,ENST00000357039
170995	gene	5825	ABCD3	ENSG00000117528,ENST00000370214
170998	gene/phenotype	5465	PPARA	ENSG00000186951,ENST00000407236
171000	phenotype			
171050	gene	5243	ABCB1	ENSG00000085563,ENST00000265724
171060	gene	5244	ABCB4	ENSG00000005471,ENST00000359206
171100	predominantly phenotypes			
171150	gene	6817	SULT1A1	ENSG00000196502,ENST00000350842
171190	gene	5409	PNMT	ENSG00000141744,ENST00000269582
171200	phenotype			
171300	phenotype			
171350	moved/removed			
171400	phenotype			
171420	predominantly phenotypes			
171450	predominantly phenotypes			
171480	predominantly phenotypes			
171490	gene	5132	PDC	ENSG00000116703,ENST00000391997
171500	gene	52	ACP1	ENSG00000143727,ENST00000272065
171640	gene	54	ACP5	ENSG00000102575,ENST00000412435
171650	gene	53	ACP2	ENSG00000134575,ENST00000256997
171660	predominantly phenotypes			
171700	moved/removed			
171720	phenotype	100196909		
171740	gene	248	ALPI	ENSG00000163295,ENST00000295463
171750	gene			
171760	gene	249	ALPL	ENSG00000162551,ENST00000374840
171790	gene	55	ACPP	ENSG00000014257,ENST00000336375
171800	gene	250	ALPP	ENSG00000163283,ENST00000392027
171810	gene	251	ALPPL2	ENSG00000163286,ENST00000295453
171820	gene			
171830	gene			
171833	gene	5295	PIK3R1	ENSG00000145675,ENST00000521381
171834	gene	5290	PIK3CA	ENSG00000121879,ENST00000263967
171835	gene	5208	PFKFB2	ENSG00000123836,ENST00000367080
171840	gene	5214	PFKP	ENSG00000067057,ENST00000433193
171850	moved/removed			
171860	gene	5211	PFKL	ENSG00000141959,ENST00000349048
171880	moved/removed			
171885	gene	5150	PDE7A	ENSG00000205268,ENST00000401827
171890	gene	5136	PDE1A	ENSG00000115252,ENST00000435564
171891	gene	5153	PDE1B	ENSG00000123360,ENST00000243052
171900	gene	5236	PGM1	ENSG00000079739,ENST00000371084
172000	gene	55276	PGM2	ENSG00000169299,ENST00000381967
172100	gene	5238	PGM3	ENSG00000013375,ENST00000513973
172110	predominantly phenotypes			
172150	phenotype			
172200	gene	5226	PGD	ENSG00000142657,ENST00000270776
172250	gene	5223	PGAM1	ENSG00000171314,ENST00000334828
172270	gene	5232	PGK2	ENSG00000170950,ENST00000304801
172280	gene	283871	PGP	ENSG00000184207,ENST00000333503
172290	predominantly phenotypes			
172300	moved/removed			
172400	gene	2821	GPI	ENSG00000105220,ENST00000415930
172405	gene	5350	PLN	ENSG00000198523,ENST00000357525
172410	gene	5319	PLA2G1B	ENSG00000170890,ENST00000308366
172411	gene	5320	PLA2G2A	ENSG00000188257,ENST00000375111
172420	gene	5335	PLCG1	ENSG00000124181,ENST00000492148
172425	gene/phenotype	5360	PLTP	ENSG00000100979,ENST00000372431
172430	gene	2023	ENO1	ENSG00000074800,ENST00000234590
172439	gene	10606	PAICS	ENSG00000128050,ENST00000505164
172450	gene	5471	PPAT	ENSG00000128059,ENST00000264220
172460	gene	4522	MTHFD1	ENSG00000100714,ENST00000555709
172470	gene	5260	PHKG1	ENSG00000164776,ENST00000297373
172471	gene	5261	PHKG2	ENSG00000156873,ENST00000563588
172480	gene	5723	PSPH	ENSG00000146733,ENST00000275605
172490	gene	5257	PHKB	ENSG00000102893,ENST00000299167
172500	predominantly phenotypes			
172700	phenotype			
172800	phenotype			
172850	predominantly phenotypes			
172860	gene	5176	SERPINF1	ENSG00000282307,ENST00000633761
172870	phenotype			
172880	predominantly phenotypes			
172900	phenotype			
173000	predominantly phenotypes			
173100	phenotype			
173110	gene	5449	POU1F1	ENSG00000064835,ENST00000350375
173120	gene	6447	SCG5	ENSG00000281931,ENST00000632219
173200	phenotype			
173310	gene	5047	PAEP	ENSG00000122133,ENST00000479141
173320	gene	6050	RNH1	ENSG00000276230,ENST00000617351
173321	gene	5269	SERPINB6	ENSG00000124570,ENST00000380524
173325	gene	3728	JUP	ENSG00000173801,ENST00000310706
173335	gene	5167	ENPP1	ENSG00000197594,ENST00000360971
173340	gene	5343	PLGLB1	ENSG00000183281,ENST00000355705
173350	gene	5340	PLG	ENSG00000122194,ENST00000308192
173360	gene	5054	SERPINE1	ENSG00000106366,ENST00000223095
173370	gene	5327	PLAT	ENSG00000104368,ENST00000220809
173390	gene	5055	SERPINB2	ENSG00000197632,ENST00000299502
173391	gene	5329	PLAUR	ENSG00000011422,ENST00000340093
173393	gene	5724	PTAFR	ENSG00000169403,ENST00000373857
173395	predominantly phenotypes			
173400	predominantly phenotypes			
173410	gene	5159	PDGFRB	ENSG00000113721,ENST00000261799
173420	predominantly phenotypes			
173430	gene	5154	PDGFA	ENSG00000197461,ENST00000402802
173445	gene	5175	PECAM1	ENSG00000261371,ENST00000563924
173450	predominantly phenotypes			
173460	gene	5196	PF4	ENSG00000163737,ENST00000296029
173461	gene	5197	PF4V1	ENSG00000109272,ENST00000226524
173470	gene/phenotype	3690	ITGB3	ENSG00000259207,ENST00000559488
173490	gene	5156	PDGFRA	ENSG00000134853,ENST00000257290
173500	gene			
173510	gene	948	CD36	ENSG00000135218,ENST00000435819
173511	gene	2814	GP5	ENSG00000178732,ENST00000401815
173515	gene	2815	GP9	ENSG00000169704,ENST00000307395
173540	phenotype			
173560	predominantly phenotypes			
173570	gene	5341	PLEK	ENSG00000115956,ENST00000234313
173580	predominantly phenotypes			
173590	predominantly phenotypes			
173600	phenotype			
173610	gene	6403	SELP	ENSG00000174175,ENST00000263686
173650	phenotype			
173700	predominantly phenotypes			
173750	moved/removed			
173800	phenotype			
173850	gene	5817	PVR	ENSG00000073008,ENST00000425690
173865	moved/removed			
173870	gene	142	PARP1	ENSG00000143799,ENST00000366794
173871	moved/removed			
173880	gene	5284	PIGR	ENSG00000162896,ENST00000356495
173900	phenotype			
173910	gene	5311	PKD2	ENSG00000118762,ENST00000237596
174000	phenotype			
174050	phenotype			
174100	moved/removed			
174200	phenotype			
174300	phenotype			
174310	predominantly phenotypes			
174400	phenotype			
174500	phenotype			
174600	phenotype			
174700	phenotype			
174750	predominantly phenotypes	2522	FUSE	
174760	gene	5423	POLB	ENSG00000070501,ENST00000265421
174761	gene	5424	POLD1	ENSG00000062822,ENST00000599857
174762	gene	5426	POLE	ENSG00000177084,ENST00000320574
174763	gene	5428	POLG	ENSG00000140521,ENST00000268124
174770	phenotype			
174800	phenotype			
174810	phenotype			
174880	gene			
174900	phenotype			
175000	moved/removed			
175020	phenotype			
175050	phenotype			
175100	phenotype			
175200	phenotype			
175400	predominantly phenotypes			
175450	predominantly phenotypes			
175500	predominantly phenotypes			
175505	predominantly phenotypes			
175510	predominantly phenotypes			
175690	phenotype			
175700	phenotype			
175750	predominantly phenotypes			
175780	phenotype			
175800	phenotype			
175850	phenotype	100196910		
175860	phenotype			
175900	phenotype			
176000	phenotype			
176010	moved/removed			
176090	predominantly phenotypes			
176100	phenotype			
176200	phenotype			
176240	predominantly phenotypes			
176250	predominantly phenotypes			
176256	gene	3747	KCNC2	ENSG00000166006,ENST00000549446
176257	gene	3742	KCNA6	ENSG00000151079,ENST00000280684
176258	gene	3746	KCNC1	ENSG00000129159,ENST00000379472
176260	gene	3736	KCNA1	ENSG00000111262,ENST00000382545
176261	gene	3753	KCNE1	ENSG00000180509,ENST00000399289
176262	gene	3737	KCNA2	ENSG00000177301,ENST00000369770
176263	gene	3738	KCNA3	ENSG00000177272,ENST00000369769
176264	gene	3748	KCNC3	ENSG00000131398,ENST00000376959
176265	gene	3749	KCNC4	ENSG00000116396,ENST00000469655
176266	gene	3739	KCNA4	ENSG00000182255,ENST00000328224
176267	gene	3741	KCNA5	ENSG00000130037,ENST00000252321
176268	gene	3743	KCNA7	ENSG00000104848,ENST00000221444
176269	moved/removed			
176270	phenotype			
176290	gene	8788	DLK1	ENSG00000185559,ENST00000341267
176300	gene	7276	TTR	ENSG00000118271,ENST00000237014
176305	phenotype			
176310	gene	5087	PBX1	ENSG00000185630,ENST00000420696
176311	gene	5089	PBX2	ENSG00000232005,ENST00000431537
176312	gene	5090	PBX3	ENSG00000167081,ENST00000342287
176385	gene	5069	PAPPA	ENSG00000182752,ENST00000328252
176390	gene	5669	PSG1	ENSG00000231924,ENST00000436291
176391	gene	5670	PSG2	ENSG00000242221,ENST00000406487
176392	gene	5671	PSG3	ENSG00000221826,ENST00000327495
176393	gene	5672	PSG4	ENSG00000243137,ENST00000405312
176394	gene	5673	PSG5	ENSG00000204941,ENST00000366175
176395	gene	5675	PSG6	ENSG00000170848,ENST00000187910
176396	gene	5676	PSG7	ENSG00000221878,ENST00000406070
176397	gene	440533	PSG8	ENSG00000124467,ENST00000404209
176398	gene	5678	PSG9	ENSG00000183668,ENST00000270077
176399	gene	653492	PSG10P	
176400	phenotype			
176401	gene	5680	PSG11	ENSG00000243130,ENST00000320078
176410	phenotype			
176420	gene	5858	PZP	ENSG00000126838,ENST00000261336
176430	phenotype			
176440	moved/removed			
176450	phenotype			
176500	phenotype			
176590	gene	5217	PFN2	ENSG00000070087,ENST00000239940
176600	predominantly phenotypes			
176610	gene	5216	PFN1	ENSG00000108518,ENST00000225655
176620	predominantly phenotypes			
176630	predominantly phenotypes			
176635	gene	5557	PRIM1	ENSG00000198056,ENST00000552590
176636	gene	5558	PRIM2	ENSG00000146143,ENST00000615550
176640	gene	5621	PRNP	ENSG00000171867,ENST00000457586
176670	phenotype			
176680	moved/removed			
176690	phenotype			
176700	phenotype			
176705	gene	5245	PHB	ENSG00000167085,ENST00000300408
176710	gene	5033	P4HA1	ENSG00000122884,ENST00000307116
176720	gene	5304	PIP	ENSG00000159763,ENST00000291009
176730	gene	3630	INS	ENSG00000254647,ENST00000381330
176740	gene	5111	PCNA	ENSG00000132646,ENST00000379143
176741	gene	4288	MKI67	ENSG00000148773,ENST00000368654
176760	gene	5617	PRL	ENSG00000172179,ENST00000306482
176761	gene	5618	PRLR	ENSG00000113494,ENST00000618457
176763	gene	5052	PRDX1	ENSG00000117450,ENST00000319248
176770	predominantly phenotypes	8039		
176780	phenotype	100312952		
176785	gene	5547	PRCP	ENSG00000137509,ENST00000313010
176790	gene	5034	P4HB	ENSG00000185624,ENST00000331483
176793	gene	5369	PMCHL1	
176794	gene	5370	PMCHL2	ENSG00000169040,ENST00000457791
176795	gene	5367	PMCH	ENSG00000183395,ENST00000329406
176797	gene	7704	ZBTB16	ENSG00000109906,ENST00000335953
176800	predominantly phenotypes			
176801	gene	5660	PSAP	ENSG00000197746,ENST00000394936
176802	gene	5731	PTGER1	ENSG00000160951,ENST00000292513
176803	gene	5730	PTGDS	ENSG00000107317,ENST00000371625
176804	gene	5732	PTGER2	ENSG00000125384,ENST00000245457
176805	gene	5742	PTGS1	ENSG00000095303,ENST00000362012
176806	gene	5733	PTGER3	ENSG00000050628,ENST00000479353
176807	phenotype			
176820	gene	354	KLK3	ENSG00000142515,ENST00000595392
176830	gene	5443	POMC	ENSG00000115138,ENST00000405623
176842	gene	5683	PSMA2	ENSG00000106588,ENST00000223321
176843	gene	5684	PSMA3	ENSG00000100567,ENST00000216455
176844	gene	5686	PSMA5	ENSG00000143106,ENST00000271308
176845	gene			
176846	gene	5685	PSMA4	ENSG00000041357,ENST00000044462
176847	gene	5699	PSMB10	ENSG00000205220,ENST00000358514
176851	gene	5110	PCMT1	ENSG00000120265,ENST00000367384
176860	phenotype			
176870	gene	259	AMBP	ENSG00000106927,ENST00000265132
176871	gene	5610	EIF2AK2	ENSG00000055332,ENST00000233057
176872	gene	5604	MAP2K1	ENSG00000169032,ENST00000307102
176873	gene	984	CDK11B	ENSG00000248333,ENST00000341832
176874	moved/removed			
176875	gene	5499	PPP1CA	ENSG00000172531,ENST00000376745
176876	gene	5781	PTPN11	ENSG00000179295,ENST00000351677
176877	gene	5774	PTPN3	ENSG00000070159,ENST00000374541
176878	gene	5775	PTPN4	ENSG00000088179,ENST00000263708
176879	gene	84867	PTPN5	ENSG00000110786,ENST00000358540
176880	gene	5627	PROS1	ENSG00000184500,ENST00000394236
176882	gene	5787	PTPRB	ENSG00000127329,ENST00000334414
176883	gene	5777	PTPN6	ENSG00000111679,ENST00000399448
176884	gene	5786	PTPRA	ENSG00000132670,ENST00000216877
176885	gene	5770	PTPN1	ENSG00000196396,ENST00000371621
176886	gene	5793	PTPRG	ENSG00000144724,ENST00000474889
176887	gene	5771	PTPN2	ENSG00000175354,ENST00000353319
176888	gene	5797	PTPRM	ENSG00000173482,ENST00000332175
176889	gene	5778	PTPN7	ENSG00000143851,ENST00000309017
176891	gene	5803	PTPRZ1	ENSG00000106278,ENST00000393386
176892	gene	5567	PRKACB	ENSG00000142875,ENST00000370689
176893	gene	5568	PRKACG	ENSG00000165059,ENST00000377276
176894	gene	5592	PRKG1	ENSG00000185532,ENST00000373985
176895	gene	8858	PROZ	ENSG00000126231,ENST00000375547
176900	predominantly phenotypes			
176910	gene	5576	PRKAR2A	ENSG00000114302,ENST00000265563
176911	gene	5575	PRKAR1B	ENSG00000188191,ENST00000360274
176912	gene	5577	PRKAR2B	ENSG00000005249,ENST00000265717
176914	gene	5501	PPP1CC	ENSG00000186298,ENST00000335007
176915	gene	5515	PPP2CA	ENSG00000113575,ENST00000481195
176916	gene	5516	PPP2CB	ENSG00000104695,ENST00000221138
176920	phenotype			
176930	gene	2147	F2	ENSG00000180210,ENST00000311907
176940	gene	6271	S100A1	ENSG00000160678,ENST00000292169
176941	gene	7297	TYK2	ENSG00000105397,ENST00000525621
176942	gene	2241	FER	ENSG00000151422,ENST00000281092
176943	gene	2263	FGFR2	ENSG00000066468,ENST00000358487
176944	moved/removed			
176945	gene	2046	EPHA8	ENSG00000070886,ENST00000166244
176946	gene	1969	EPHA2	ENSG00000142627,ENST00000358432
176947	gene	7535	ZAP70	ENSG00000115085,ENST00000264972
176948	gene	5594	MAPK1	ENSG00000100030,ENST00000215832
176949	gene	5596	MAPK4	ENSG00000282110,ENST00000632577
176950	moved/removed			
176960	gene	5578	PRKCA	ENSG00000154229,ENST00000578063
176970	gene	5579	PRKCB	ENSG00000166501,ENST00000321728
176975	gene	5581	PRKCE	ENSG00000171132,ENST00000306156
176977	gene	5580	PRKCD	ENSG00000163932,ENST00000394729
176980	gene	5582	PRKCG	ENSG00000126583,ENST00000263431
176981	gene	10399	RACK1	ENSG00000204628,ENST00000512805
176982	gene	5590	PRKCZ	ENSG00000067606,ENST00000378567
176990	gene	6285	S100B	ENSG00000160307,ENST00000291700
176991	gene	6276	S100A5	ENSG00000196420,ENST00000368718
176992	gene	6274	S100A3	ENSG00000188015,ENST00000368713
176993	gene	6273	S100A2	ENSG00000196754,ENST00000368708
177000	phenotype			
177010	gene	5270	SERPINE2	ENSG00000135919,ENST00000258405
177015	gene	5681	PSKH1	ENSG00000159792,ENST00000291041
177020	gene	5657	PRTN3	ENSG00000196415,ENST00000234347
177030	moved/removed			
177040	gene	5552	SRGN	ENSG00000122862,ENST00000242465
177045	gene	5698	PSMB9	ENSG00000239836,ENST00000444284
177046	gene	5696	PSMB8	ENSG00000235715,ENST00000416134
177050	phenotype			
177060	gene	5589	PRKCSH	ENSG00000130175,ENST00000589838
177061	gene	4082	MARCKS	ENSG00000277443,ENST00000612661
177070	gene	2038	EPB42	ENSG00000166947,ENST00000300215
177075	gene	4094	MAF	ENSG00000178573,ENST00000326043
177100	predominantly phenotypes			
177150	moved/removed			
177170	phenotype			
177200	phenotype			
177300	predominantly phenotypes			
177350	predominantly phenotypes			
177400	gene/phenotype	590	BCHE	ENSG00000114200,ENST00000264381
177500	gene			
177600	predominantly phenotypes			
177650	phenotype			
177700	phenotype			
177720	moved/removed			
177735	phenotype			
177750	phenotype			
177800	predominantly phenotypes			
177820	phenotype			
177850	phenotype			
177860	moved/removed			
177900	phenotype			
177980	phenotype			
177990	predominantly phenotypes			
178000	predominantly phenotypes			
178110	phenotype			
178200	phenotype			
178300	phenotype	5765	PTOS1	
178330	predominantly phenotypes			
178350	phenotype			
178370	predominantly phenotypes			
178400	predominantly phenotypes			
178500	phenotype			
178550	predominantly phenotypes			
178600	phenotype			
178610	predominantly phenotypes			
178620	gene	6440	SFTPC	ENSG00000168484,ENST00000318561
178630	gene	653509	SFTPA1	ENSG00000122852,ENST00000429958
178635	gene	6441	SFTPD	ENSG00000133661,ENST00000372292
178640	gene	6439	SFTPB	ENSG00000168878,ENST00000519937
178642	gene	729238	SFTPA2	ENSG00000185303,ENST00000372325
178650	predominantly phenotypes			
178651	predominantly phenotypes			
178800	predominantly phenotypes			
178900	predominantly phenotypes			
178990	gene	4316	MMP7	ENSG00000137673,ENST00000260227
178995	predominantly phenotypes			
179000	predominantly phenotypes			
179010	phenotype			
179020	gene	8566	PDXK	ENSG00000160209,ENST00000468090
179030	gene	5464	PPA1	ENSG00000180817,ENST00000373232
179035	gene	5831	PYCR1	ENSG00000183010,ENST00000329875
179040	moved/removed			
179050	gene	5315	PKM	ENSG00000067225,ENST00000569857
179060	gene	5162	PDHB	ENSG00000168291,ENST00000302746
179061	gene	5161	PDHA2	ENSG00000163114,ENST00000295266
179080	gene	5876	RABGGTB	ENSG00000137955,ENST00000319942
179090	moved/removed			
179095	gene	7320	UBE2B	ENSG00000119048,ENST00000265339
179200	phenotype			
179250	predominantly phenotypes			
179270	predominantly phenotypes			
179280	predominantly phenotypes			
179300	predominantly phenotypes			
179400	predominantly phenotypes			
179410	gene	5962	RDX	ENSG00000137710,ENST00000343115
179450	predominantly phenotypes	7937		
179490	gene	5864	RAB3A	ENSG00000105649,ENST00000222256
179500	predominantly phenotypes			
179502	gene	5910	RAP1GDS1	ENSG00000138698,ENST00000408927
179503	gene	6236	RRAD	ENSG00000166592,ENST00000299759
179505	gene	391	RHOG	ENSG00000177105,ENST00000351018
179508	gene	5861	RAB1A	ENSG00000138069,ENST00000409784
179509	gene	5862	RAB2A	ENSG00000104388,ENST00000262646
179510	gene	5865	RAB3B	ENSG00000169213,ENST00000371655
179511	gene	5867	RAB4A	ENSG00000168118,ENST00000366690
179512	gene	5868	RAB5A	ENSG00000144566,ENST00000273047
179513	gene	5870	RAB6A	ENSG00000175582,ENST00000310653
179514	gene	5869	RAB5B	ENSG00000111540,ENST00000360299
179520	gene	5906	RAP1A	ENSG00000116473,ENST00000369709
179530	gene	5908	RAP1B	ENSG00000127314,ENST00000250559
179540	gene	5911	RAP2A	ENSG00000125249,ENST00000245304
179541	gene	5912	RAP2B	ENSG00000181467,ENST00000323534
179550	gene	5898	RALA	ENSG00000006451,ENST00000005257
179551	gene	5899	RALB	ENSG00000144118,ENST00000272519
179555	gene	6251	RSU1	ENSG00000148484,ENST00000345264
179590	gene	5792	PTPRF	ENSG00000142949,ENST00000359947
179600	phenotype			
179605	gene	5961	PRPH2	ENSG00000112619,ENST00000230381
179610	gene	2041	EPHA1	ENSG00000146904,ENST00000275815
179611	gene	2042	EPHA3	ENSG00000044524,ENST00000336596
179613	phenotype			
179615	gene	5896	RAG1	ENSG00000166349,ENST00000534663
179616	gene	5897	RAG2	ENSG00000175097,ENST00000311485
179617	gene	5888	RAD51	ENSG00000051180,ENST00000267868
179618	gene	5957	RCVRN	ENSG00000109047,ENST00000226193
179620	phenotype			
179650	phenotype			
179700	phenotype			
179710	gene	1104	RCC1	ENSG00000180198,ENST00000373832
179715	moved/removed			
179730	gene	6013	RLN1	ENSG00000107018,ENST00000223862
179740	gene	6019	RLN2	ENSG00000107014,ENST00000381627
179755	gene	5546	PRCC	ENSG00000143294,ENST00000271526
179760	moved/removed			
179770	moved/removed			
179780	gene	1800	DPEP1	ENSG00000015413,ENST00000261615
179800	phenotype			
179820	gene	5972	REN	ENSG00000143839,ENST00000272190
179830	predominantly phenotypes			
179835	gene	6117	RPA1	ENSG00000132383,ENST00000254719
179836	gene	6118	RPA2	ENSG00000117748,ENST00000373912
179837	gene	6119	RPA3	ENSG00000106399,ENST00000223129
179838	gene	6249	CLIP1	ENSG00000130779,ENST00000302528
179840	predominantly phenotypes			
179850	phenotype			
179900	phenotype			
180000	phenotype			
180020	phenotype	5953	RCD1	
180040	gene	343035	RD3	ENSG00000198570,ENST00000367002
180050	phenotype			
180060	moved/removed			
180069	gene	6121	RPE65	ENSG00000116745,ENST00000262340
180070	moved/removed			
180071	gene	5145	PDE6A	ENSG00000132915,ENST00000255266
180072	gene	5158	PDE6B	ENSG00000133256,ENST00000255622
180073	gene	5148	PDE6G	ENSG00000185527,ENST00000571004
180080	predominantly phenotypes			
180090	gene	6017	RLBP1	ENSG00000140522,ENST00000268125
180100	phenotype			
180102	moved/removed			
180103	moved/removed			
180104	phenotype			
180105	phenotype			
180190	gene	5916	RARG	ENSG00000172819,ENST00000425354
180200	phenotype			
180201	gene	5926	ARID4A	ENSG00000032219,ENST00000355431
180202	gene	5927	KDM5A	ENSG00000073614,ENST00000399788
180203	gene	5934	RBL2	ENSG00000103479,ENST00000262133
180210	predominantly phenotypes			
180220	gene	5915	RARB	ENSG00000077092,ENST00000330688
180230	gene	1381	CRABP1	ENSG00000166426,ENST00000299529
180231	gene	1382	CRABP2	ENSG00000143320,ENST00000368222
180240	gene	5914	RARA	ENSG00000131759,ENST00000254066
180245	gene	6256	RXRA	ENSG00000186350,ENST00000356384
180246	gene	6257	RXRB	ENSG00000228333,ENST00000415157
180247	gene	6258	RXRG	ENSG00000143171,ENST00000359842
180250	gene	5950	RBP4	ENSG00000138207,ENST00000371464
180260	gene	5947	RBP1	ENSG00000114115,ENST00000232219
180270	predominantly phenotypes			
180280	gene	5948	RBP2	ENSG00000114113,ENST00000232217
180290	gene	5949	RBP3	ENSG00000265203,ENST00000584701
180295	phenotype			
180297	gene	6005	RHAG	ENSG00000112077,ENST00000371175
180300	phenotype			
180330	moved/removed			
180350	predominantly phenotypes			
180360	predominantly phenotypes			
180370	gene	7263	TST	ENSG00000128311,ENST00000249042
180380	gene	6010	RHO	ENSG00000163914,ENST00000296271
180381	gene	6011	GRK1	
180385	gene	4005	LMO2	ENSG00000135363,ENST00000257818
180386	gene	55885	LMO3	ENSG00000048540,ENST00000540848
180390	gene	6241	RRM2	ENSG00000171848,ENST00000360566
180410	gene	6240	RRM1	ENSG00000167325,ENST00000300738
180420	gene	6025	RN5S1@	
180430	gene	22934	RPIA	ENSG00000153574,ENST00000283646
180435	gene	6041	RNASEL	ENSG00000135828,ENST00000367559
180440	gene	6035	RNASE1	ENSG00000129538,ENST00000397967
180450	gene	6052	RNR1	
180451	gene	6053	RNR2	
180452	gene	6054	RNR3	
180453	gene	6055	RNR4	
180454	gene	6056	RNR5	
180460	gene	6194	RPS6	ENSG00000137154,ENST00000380394
180461	moved/removed			
180462	moved/removed			
180463	gene	6225	RPS20P3	
180464	gene	6226	RPS20P4	
180465	gene	6230	RPS25	ENSG00000280831,ENST00000628770
180466	gene	6143	RPL19	ENSG00000108298,ENST00000225430
